Deklaracja ścieżek;Kontrola deklaracji ścieżek (pliki *.pth i *.pti);exec('pth','%release');;;;;;;;;
Katalog;Plik;Nr linii;Linia;Linia;Typ;Element;Opis;Zapis poprawny;;;
F_KSBUD;f_ksbud;skid_edk;F;Nie odnaleziono pliku skid_edk.fml;N;;;;;;
F_STAND;f_stand;skid_fsi;F;Nie odnaleziono pliku skid_fsi.fml;N;;;;;;
G-BMENU;menu_ba;godziny;P;W pliku godziny.fml nie odnaleziono procedury \menu_ba.;N;;;;;;
GRDOKPRN;drukuj;gr_dok;F;Nie odnaleziono pliku gr_dok.fml;N;;;;;;
GR_AE_WY;gr_ae_wy;srodruch;F;Nie odnaleziono pliku srodruch.fml;N;;;;;;
GR_BE_WY;gr_be_wy;srodruch;F;Nie odnaleziono pliku srodruch.fml;N;;;;;;
GR_PORED;pr_przbrgr;slownik1;F;Nie odnaleziono pliku slownik1.fml;N;;;;;;
GR_SIK_DRUK1;gr_sik_druk;skid_sik;F;Nie odnaleziono pliku skid_sik.fml;N;;;;;;
GR_SIK_DRUK2;gr_sik_druk;skid_sik;F;Nie odnaleziono pliku skid_sik.fml;N;;;;;;
GR_ZAKR;set_zakr;gr_dok;F;Nie odnaleziono pliku gr_dok.fml;N;;;;;;
GSPN_usun_B;gspn_usun_b;!zws_par_pgsp;P;W pliku !zws_par_pgsp.fml nie odnaleziono procedury \gspn_usun_b.;N;;;;;;
HARM_DISP;harm_disp;polap;F;Nie odnaleziono pliku polap.fml;N;;;;;;
HARM_UZU;harm_uzu;umowy_harm;P;W pliku umowy_harm.fml nie odnaleziono procedury \harm_uzu.;N;;;;;;
HBN_PRZ_DLZS_DONE;done;!hbn_prz_dlzs;F;Nie odnaleziono pliku !hbn_prz_dlzs.fml;N;;;;;;
HBN_PRZ_DLZS_KEEP;keep;!hbn_prz_dlzs;F;Nie odnaleziono pliku !hbn_prz_dlzs.fml;N;;;;;;
HBPKI_SZPONAZ;hbpki_szponaz;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
HBPKI_SZ_PO_KOD;hbpki_sz_po_kod;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
HR1PLPBL;ppp_harm;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
HR2PLPBL;ppp_harm;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
HT_NKTM;ht_naz_ktm;polap;F;Nie odnaleziono pliku polap.fml;N;;;;;;
IDROZ_F3;poz_iden;ml_auto;P;W pliku ml_auto.fml nie odnaleziono procedury \poz_iden.;N;;;;;;
IDR_AE;idr_ae;ml_auto;P;W pliku ml_auto.fml nie odnaleziono procedury \idr_ae.;N;;;;;;
IDR_BE;idr_be;ml_auto;P;W pliku ml_auto.fml nie odnaleziono procedury \idr_be.;N;;;;;;
ILPORED;ilpored;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
ILSPR;ilspr;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
IMG_BLOB_GRP_U_BF;grp_u_bf;img_blob;P;W pliku img_blob.fml nie odnaleziono procedury \grp_u_bf.;N;;;;;;
IMG_BLOB_GRP_U_NAW_AR;grp_u_naw_ar;img_blob;P;W pliku img_blob.fml nie odnaleziono procedury \grp_u_naw_ar.;N;;;;;;
IMG_BLOB_GRP_U_OC;grp_u_oc;img_blob;P;W pliku img_blob.fml nie odnaleziono procedury \grp_u_oc.;N;;;;;;
IMG_BLOB_GRP_U_WER_BS;grp_u_wer_bs;img_blob;P;W pliku img_blob.fml nie odnaleziono procedury \grp_u_wer_bs.;N;;;;;;
IMPORTUJ;importuj;genstan;F;Nie odnaleziono pliku genstan.fml;N;;;;;;
IMP_EDID;edi;skid_im1;F;Nie odnaleziono pliku skid_im1.fml;N;;;;;;
I_AERODZ;MenuK_i_anrodz;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_ANBLAN;MenuK_i_anblan;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_ANBLGT;MenuK_i_anblgt;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_ANBLK;MenuK_i_anblk;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_ANBLN;MenuK_i_anbln;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_ANBVFO;MenuK_i_anbvfo;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_BERODZ;MenuK_i_berodz;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_MOD;MenuK_MOD;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
I_POZBL;MenuK_POZ;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
JAKISLEW;jakislew;vat;F;Nie odnaleziono pliku vat.fml;N;;;;;;
KAL_UD_PLR_F3;kalud_plrodz_f3;pl_okr3;F;Nie odnaleziono pliku pl_okr3.fml;N;;;;;;
KARO_RO_AE;karo_ro_ae;wyp_head;P;W pliku wyp_head.fml nie odnaleziono procedury \karo_ro_ae.;N;;;;;;
KEY_ESC;key_esc;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
KEY_F2;key_f2;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
KEY_FLD_0;key_fld_0;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_10;key_fld_10;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_31;key_fld_31;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_5;key_fld_5;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_92;key_fld_92;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_PLUS;key_fld_plus;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_PR;key_fld_pr;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_ROK;key_fld_rok;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KEY_FLD_ROWNE;key_fld_rowne;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
KHV_ROZLICZ;khv_rozlicz;khv;F;Nie odnaleziono pliku khv.fml;N;;;;;;
KH_SALDO;kh_saldo;firma;F;Nie odnaleziono pliku firma.fml;N;;;;;;
KM_OM;km_om;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KM_SKL_A;kom_skl_add;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
KM_SKL_E;kom_skl_edit;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
KM_SKL_P;kom_skl_przew;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
KODY_ARK;kody_ark;zl_akor1;F;Nie odnaleziono pliku zl_akor1.fml;N;;;;;;
KOL_A;kol;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
KOL_B;kol;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
KOL_C;kol;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
KOL_D;kol;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
KOL_NXT;kol_nxt;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
KOL_PRV;kol_prv;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
KOMM_RKPO;komm_rkpo;px_komm;P;W pliku px_komm.fml nie odnaleziono procedury \komm_rkpo.;N;;;;;;
KOM_ADD;kom_add;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
KOM_POP;kom_pop;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
KON_FIRM;kon_firm;skid_obg;F;Nie odnaleziono pliku skid_obg.fml;N;;;;;;
KR1PLPBL;ppp_kor;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
KR2PLPBL;ppp_kor;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
KRZGH_F3;red_zgh_f3;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGH_PO;red_zgh_po;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGH_PR;red_zgh_pr;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGH_PW;red_zgh_pw;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGP_F3;red_zgp_f3;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGP_PO;red_zgp_po;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGP_PR;red_zgp_pr;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KRZGP_PW;red_zgp_pw;karta;F;Nie odnaleziono pliku karta.fml;N;;;;;;
KS_SPAC;ks_spac;ksiega;F;Nie odnaleziono pliku ksiega.fml;N;;;;;;
KTMPLPBL;ktmplpbl;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
KTO_WPR;bl_kto_wpr;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
KTRCWZ01;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ02;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ03;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ04;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ05;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ06;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ07;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ08;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ09;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ10;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ11;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ12;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ13;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ14;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ15;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ16;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ17;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ18;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ19;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRCWZ20;ktrc_kwz;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL1;ktrlkol1;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL10;ktrlkol10;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL11;ktrlkol11;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL12;ktrlkol12;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL13;ktrlkol13;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL14;ktrlkol14;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL15;ktrlkol15;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL16;ktrlkol16;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL17;ktrlkol17;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL18;ktrlkol18;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL19;ktrlkol19;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL2;ktrlkol2;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL20;ktrlkol20;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL3;ktrlkol3;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL4;ktrlkol4;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL5;ktrlkol5;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL6;ktrlkol6;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL7;ktrlkol7;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL8;ktrlkol8;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRLKOL9;ktrlkol9;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRL_GAE;godz_ae;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRL_GBE;godz_be;ktrl;F;Nie odnaleziono pliku ktrl.fml;N;;;;;;
KTRN.REF;ktrn_ref;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
KTRN_ADD;ktrn_add;skid_ktr;F;Nie odnaleziono pliku skid_ktr.fml;N;;;;;;
KTRN_EDI;ktrn_edi;skid_ktr;F;Nie odnaleziono pliku skid_ktr.fml;N;;;;;;
KTRN_ROD;ktrn_rod;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
KTRPNEW;ktrpnew;skid_ktr;F;Nie odnaleziono pliku skid_ktr.fml;N;;;;;;
KTRPPOP;ktrppop;skid_ktr;F;Nie odnaleziono pliku skid_ktr.fml;N;;;;;;
KTRP_RP;ktrp_rp;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
KZP_P.JEDN;wyd_poc;kzp;F;Nie odnaleziono pliku kzp.fml;N;;;;;;
KZP_P.ref;kzp_p_ref;kzp;F;Nie odnaleziono pliku kzp.fml;N;;;;;;
LEG_KOMS;leg_kom_skl;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
LEG_NKOD;leg_nkod;inw_srod;F;Nie odnaleziono pliku inw_srod.fml;N;;;;;;
LEG_POCZTAA;leg_pocztaa;#mailbox;P;W pliku #mailbox.fml nie odnaleziono procedury \leg_pocztaa.;N;;;;;;
LP_LPRP;lp_lprodp;slownik1;F;Nie odnaleziono pliku slownik1.fml;N;;;;;;
MANAGER_MWAC;manager;__mwac;P;W pliku __mwac.fml nie odnaleziono procedury \manager.;N;;;;;;
MASCZYPR;masczypr;skid_pla;F;Nie odnaleziono pliku skid_pla.fml;N;;;;;;
MENUK_FO_aFE;MENUK_FO_aFE;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
MENUK_FO_bD;MENUK_FO_bD;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
MENUK_FO_bFE;MENUK_FO_bFE;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
MENUK_FO_f3;MENUK_FO_f3;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
MENUK_NAZWID_AE;MENUK_NAZWID_AE;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
MENUK_NAZWID_BL;MENUK_NAZWID_BL;skid_mkl;F;Nie odnaleziono pliku skid_mkl.fml;N;;;;;;
MENUK_P_aFE;MENUK_P_aFE;skid_anp;F;Nie odnaleziono pliku skid_anp.fml;N;;;;;;
MENUK_P_bD;MENUK_P_bD;skid_anp;F;Nie odnaleziono pliku skid_anp.fml;N;;;;;;
MENUK_P_bFE;MENUK_P_bFE;skid_anp;F;Nie odnaleziono pliku skid_anp.fml;N;;;;;;
MENUK_P_f3;MENUK_P_f3;skid_anp;F;Nie odnaleziono pliku skid_anp.fml;N;;;;;;
MENUK_aFE;MENUK_aFE;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MENUK_bFE;MENUK_bFE;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MESIACAF;MESIACAF;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
METF3UDZ;met_f3;umowydl;F;Nie odnaleziono pliku umowydl.fml;N;;;;;;
METPOUDZ;met_po;umowydl;F;Nie odnaleziono pliku umowydl.fml;N;;;;;;
MGRP_WYPOS_AE;mgrp_wypos_ae;!zws_par_kmtr;P;W pliku !zws_par_kmtr.fml nie odnaleziono procedury \mgrp_wypos_ae.;N;;;;;;
MIESBEFO;MIESBEFO;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
MK_ATAB;mk_atab;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MK_CZYMW;mk_czymw;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MK_FGRP;mk_fgrp;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MK_GPOUM;gpo_umn;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MK_GPRUM;gprz_umn;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MK_POWYW;mk_powyw;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MK_UMENU;usr_menu;skid_mk;F;Nie odnaleziono pliku skid_mk.fml;N;;;;;;
MLBZF3;zbz_f3;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \zbz_f3.;N;;;;;;
MLBZPOR;zbz_por;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \zbz_por.;N;;;;;;
MLBZPRW;zbz_prw;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \zbz_prw.;N;;;;;;
MLBZTRP;bzadtryb;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bzadtryb.;N;;;;;;
MLF3TYP;mlf3typ;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \mlf3typ.;N;;;;;;
MLKAKT_AFT;akt_aft;ml_rpola;F;Nie odnaleziono pliku ml_rpola.fml;N;;;;;;
MLKAKT_F3;akt_f3;ml_rpola;F;Nie odnaleziono pliku ml_rpola.fml;N;;;;;;
MLKAKT_WYS;akt_wys;ml_rpola;F;Nie odnaleziono pliku ml_rpola.fml;N;;;;;;
MLKDEF_BUD;def_bud;ml_kasa;F;Nie odnaleziono pliku ml_kasa.fml;N;;;;;;
MLKOLOBL;mlkolobl;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \mlkolobl.;N;;;;;;
MLKRRBUD_AE;rrbud_ae;ml_kasa;F;Nie odnaleziono pliku ml_kasa.fml;N;;;;;;
MLKRRBUD_F3;rrbud_f3;ml_kasa;F;Nie odnaleziono pliku ml_kasa.fml;N;;;;;;
MLKTYPPO;mlktyppo;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \mlktyppo.;N;;;;;;
MLKWPL_AFT;wpl_aft;ml_rpola;F;Nie odnaleziono pliku ml_rpola.fml;N;;;;;;
MLKWPL_F3;wpl_f3;ml_rpola;F;Nie odnaleziono pliku ml_rpola.fml;N;;;;;;
MLKWPL_WYS;wpl_wys;ml_rpola;F;Nie odnaleziono pliku ml_rpola.fml;N;;;;;;
MLK_ZZREF;zzref;ml_znaki;F;Nie odnaleziono pliku ml_znaki.fml;N;;;;;;
MLPOPNAZ;mlpop_naz;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \mlpop_naz.;N;;;;;;
MLPOPSTR;pop_str;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \pop_str.;N;;;;;;
MLSTRPO;mlstr_po;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \mlstr_po.;N;;;;;;
MLTID_BE;ml_tid_be;ml_auto;P;W pliku ml_auto.fml nie odnaleziono procedury \ml_tid_be.;N;;;;;;
MLXCPVF3;mlxcpvf3;ml_cpv;F;Nie odnaleziono pliku ml_cpv.fml;N;;;;;;
ML_AEBRKOD;aebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aebrkod.;N;;;;;;
ML_AEBRKODDZ;aebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aebrkod.;N;;;;;;
ML_AEBRKODPG;aebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aebrkod.;N;;;;;;
ML_AEBRKODPP;aebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aebrkod.;N;;;;;;
ML_AEBRKODRZ;aebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aebrkod.;N;;;;;;
ML_AEBZKOD;aebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \aebzkod.;N;;;;;;
ML_AEBZKODDZ;aebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \aebzkod.;N;;;;;;
ML_AEBZKODFUN;aebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \aebzkod.;N;;;;;;
ML_AEBZKODPZAD;aebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \aebzkod.;N;;;;;;
ML_AEBZKODZAD;aebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \aebzkod.;N;;;;;;
ML_AEPLODD;aeplodd;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
ML_AERKODCZ;aebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aebrkod.;N;;;;;;
ML_AE_POZDOK_NZ;ae_pozdz;ml_znaki;F;Nie odnaleziono pliku ml_znaki.fml;N;;;;;;
ML_BEBRKOD;bebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bebrkod.;N;;;;;;
ML_BEBRKODDZ;bebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bebrkod.;N;;;;;;
ML_BEBRKODPG;bebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bebrkod.;N;;;;;;
ML_BEBRKODPP;bebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bebrkod.;N;;;;;;
ML_BEBRKODRZ;bebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bebrkod.;N;;;;;;
ML_BEBZKOD;bebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bebzkod.;N;;;;;;
ML_BEBZKODDZ;bebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bebzkod.;N;;;;;;
ML_BEBZKODPZAD;bebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bebzkod.;N;;;;;;
ML_BEBZKODZAD;bebzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bebzkod.;N;;;;;;
ML_BEBZPOW;bebzpow;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bebzpow.;N;;;;;;
ML_BED_TYPYRR;bed_typyrr;ml_kasa;F;Nie odnaleziono pliku ml_kasa.fml;N;;;;;;
ML_BEPLODD;beplodd;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
ML_BERKODCZ;bebrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bebrkod.;N;;;;;;
ML_BERODZPG;berodzpg;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \berodzpg.;N;;;;;;
ML_BE_POZDOK_NZ;be_pozdz;ml_znaki;F;Nie odnaleziono pliku ml_znaki.fml;N;;;;;;
ML_BI_SLOPL;bi_slopl;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
ML_BWBRKODDZ;bwbrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bwbrkod.;N;;;;;;
ML_BWBRKODPG;bwbrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bwbrkod.;N;;;;;;
ML_BWBRKODPP;bwbrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bwbrkod.;N;;;;;;
ML_BWBRKODRZ;bwbrkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bwbrkod.;N;;;;;;
ML_BWBZKODDZ;bwbzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bwbzkod.;N;;;;;;
ML_BWBZKODPZAD;bwbzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bwbzkod.;N;;;;;;
ML_BWBZKODZAD;bwbzkod;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \bwbzkod.;N;;;;;;
ML_BWPLODD;bwplodd;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
ML_BWRODZPG;bwrodzpg;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bwrodzpg.;N;;;;;;
ML_BWRPKOD;bwrpkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \bwrpkod.;N;;;;;;
ML_CEL_BL;cel_bl;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \cel_bl.;N;;;;;;
ML_CHKLP;lp_grpoz;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \lp_grpoz.;N;;;;;;
ML_CPVBIND;cpvbind;ml_cpv;F;Nie odnaleziono pliku ml_cpv.fml;N;;;;;;
ML_CPVUZ_AE;cpvuz_ae;ml_cpv;F;Nie odnaleziono pliku ml_cpv.fml;N;;;;;;
ML_CPV_AE;cpv_ae;ml_cpv;F;Nie odnaleziono pliku ml_cpv.fml;N;;;;;;
ML_F3BRKOD;f3brkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \f3brkod.;N;;;;;;
ML_F3BRKODDZ;f3brkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \f3brkod.;N;;;;;;
ML_F3BRKODPG;f3brkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \f3brkod.;N;;;;;;
ML_F3BRKODRZ;f3brkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \f3brkod.;N;;;;;;
ML_F3PLODD;f3plodd;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
ML_F3RKODCZ;f3brkod;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \f3brkod.;N;;;;;;
ML_F3RODZ_WD;f3rodz_wd;ml_plany;F;Nie odnaleziono pliku ml_plany.fml;N;;;;;;
ML_F3_POZDOK_NZ;f3_pozdz;ml_znaki;F;Nie odnaleziono pliku ml_znaki.fml;N;;;;;;
ML_GRREF;ml_grref;ml_gr;P;W pliku ml_gr.fml nie odnaleziono procedury \ml_grref.;N;;;;;;
ML_JTYP;f3jtyp;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \f3jtyp.;N;;;;;;
ML_JTYPAE;aejtyp;ml_fiks;P;W pliku ml_fiks.fml nie odnaleziono procedury \aejtyp.;N;;;;;;
